Date,ACWI Standard (Large+Mid Cap)
1987-12-31,100.0
1988-01-29,102.33
1988-02-29,108.073
1988-03-31,111.22200000000001
1988-04-29,112.448
1988-05-31,110.041
1988-06-30,109.74600000000001
1988-07-29,111.59299999999999
1988-08-31,105.27799999999999
1988-09-30,109.618
1988-10-31,116.601
1988-11-30,120.314
1988-12-30,121.20200000000001
1989-01-31,125.369
1989-02-28,124.40799999999999
1989-03-31,123.495
1989-04-28,126.365
1989-05-31,123.15799999999999
1989-06-30,121.227
1989-07-31,134.694
1989-08-31,131.299
1989-09-29,135.039
1989-10-31,130.458
1989-11-30,135.359
1989-12-29,139.569
1990-01-31,132.914
1990-02-28,127.09200000000001
1990-03-30,118.99600000000001
1990-04-30,117.243
1990-05-31,129.24200000000002
1990-06-29,128.119
1990-07-31,129.157
1990-08-31,116.74799999999999
1990-09-28,104.28299999999999
1990-10-31,113.615
1990-11-30,111.441
1990-12-31,113.564
1991-01-31,117.49700000000001
1991-02-28,128.281
1991-03-29,124.43799999999999
1991-04-30,125.212
1991-05-31,127.94200000000001
1991-06-28,119.884
1991-07-31,125.336
1991-08-30,124.821
1991-09-30,127.73700000000001
1991-10-31,129.69899999999998
1991-11-29,123.853
1991-12-31,132.78
1992-01-31,130.533
1992-02-28,128.293
1992-03-31,122.311
1992-04-30,123.67
1992-05-29,128.131
1992-06-30,123.27799999999999
1992-07-31,123.39
1992-08-31,125.87299999999999
1992-09-30,124.525
1992-10-30,121.21600000000001
1992-11-30,122.976
1992-12-31,123.882
1993-01-29,124.065
1993-02-26,126.728
1993-03-31,133.75
1993-04-30,139.54
1993-05-31,142.542
1993-06-30,141.349
1993-07-30,144.013
1993-08-31,150.583
1993-09-30,147.797
1993-10-29,151.915
1993-11-30,143.762
1993-12-31,151.279
1994-01-31,161.054
1994-02-28,158.466
1994-03-31,151.071
1994-04-29,154.903
1994-05-31,155.536
1994-06-30,154.502
1994-07-29,157.656
1994-08-31,162.998
1994-09-30,158.893
1994-10-31,162.678
1994-11-30,155.33
1994-12-30,155.596
1995-01-31,152.153
1995-02-28,153.493
1995-03-31,160.21
1995-04-28,165.732
1995-05-31,167.24400000000003
1995-06-30,166.96599999999998
1995-07-31,174.737
1995-08-31,170.611
1995-09-29,175.0
1995-10-31,171.77599999999998
1995-11-30,176.88099999999997
1995-12-29,181.895
1996-01-31,185.639
1996-02-29,186.093
1996-03-29,188.636
1996-04-30,192.895
1996-05-31,192.75900000000001
1996-06-28,193.484
1996-07-31,185.92700000000002
1996-08-30,187.894
1996-09-30,194.511
1996-10-31,194.976
1996-11-29,205.077
1996-12-31,201.78400000000002
1997-01-01,201.78400000000002
1997-01-02,200.333
1997-01-03,201.65
1997-01-06,202.207
1997-01-07,202.642
1997-01-08,201.93200000000002
1997-01-09,201.69400000000002
1997-01-10,200.765
1997-01-13,202.18099999999998
1997-01-14,203.83
1997-01-15,204.188
1997-01-16,205.07
1997-01-17,205.329
1997-01-20,204.325
1997-01-21,204.387
1997-01-22,205.445
1997-01-23,204.137
1997-01-24,202.669
1997-01-27,201.00900000000001
1997-01-28,200.99200000000002
1997-01-29,201.935
1997-01-30,203.28599999999997
1997-01-31,204.858
1997-02-03,204.78799999999998
1997-02-04,205.335
1997-02-05,203.982
1997-02-06,204.067
1997-02-07,204.903
1997-02-10,205.803
1997-02-11,206.02700000000002
1997-02-12,207.687
1997-02-13,208.99200000000002
1997-02-14,208.986
1997-02-17,208.78099999999998
1997-02-18,209.372
1997-02-19,209.067
1997-02-20,208.78599999999997
1997-02-21,209.02900000000002
1997-02-24,210.563
1997-02-25,211.452
1997-02-26,209.857
1997-02-27,208.75900000000001
1997-02-28,207.33900000000003
1997-03-03,207.301
1997-03-04,207.19099999999997
1997-03-05,208.188
1997-03-06,207.90200000000002
1997-03-07,208.827
1997-03-10,210.53799999999998
1997-03-11,210.638
1997-03-12,208.822
1997-03-13,206.253
1997-03-14,206.763
1997-03-17,206.25599999999997
1997-03-18,205.92
1997-03-19,205.628
1997-03-20,203.832
1997-03-21,204.888
1997-03-24,204.975
1997-03-25,205.78
1997-03-26,206.63400000000001
1997-03-27,205.15599999999998
1997-03-28,204.995
1997-03-31,202.842
1997-04-01,201.44
1997-04-02,200.625
1997-04-03,200.16299999999998
1997-04-04,200.676
1997-04-07,200.80900000000003
1997-04-08,201.421
1997-04-09,200.672
1997-04-10,199.967
1997-04-11,197.375
1997-04-14,197.243
1997-04-15,199.50599999999997
1997-04-16,201.278
1997-04-17,201.52
1997-04-18,202.578
1997-04-21,202.954
1997-04-22,204.40400000000002
1997-04-23,205.138
1997-04-24,204.91
1997-04-25,203.334
1997-04-28,203.995
1997-04-29,207.18
1997-04-30,208.993
1997-05-01,209.442
1997-05-02,211.46900000000002
1997-05-05,213.80900000000003
1997-05-06,215.898
1997-05-07,214.585
1997-05-08,215.429
1997-05-09,216.892
1997-05-12,219.91099999999997
1997-05-13,219.86599999999999
1997-05-14,220.642
1997-05-15,221.356
