,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,param_criterion,param_class_weight,params,mean_test_score,std_test_score,rank_test_score
5,0.20914654493331908,0.01345867239383166,0.011333768367767333,0.0017208592156376238,80,21,60,auto,40,gini,"{1: 0.7832436587240584, 0: 0.2167563412759416}","{'n_estimators': 80, 'min_samples_split': 21, 'min_samples_leaf': 60, 'max_features': 'auto', 'max_depth': 40, 'criterion': 'gini', 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}}",0.599656862745098,0.031146572665680116,1
52,0.2076166582107544,0.00647307711610375,0.011392836570739745,0.0016968046185452134,80,21,54,log2,20,gini,"{1: 0.7832436587240584, 0: 0.2167563412759416}","{'n_estimators': 80, 'min_samples_split': 21, 'min_samples_leaf': 54, 'max_features': 'log2', 'max_depth': 20, 'criterion': 'gini', 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}}",0.5995626934984519,0.029595195563878886,2
39,0.22413914442062377,0.029965599825326313,0.011643497943878174,0.001983134960326135,80,19,54,log2,40,gini,"{1: 0.7832436587240584, 0: 0.2167563412759416}","{'n_estimators': 80, 'min_samples_split': 19, 'min_samples_leaf': 54, 'max_features': 'log2', 'max_depth': 40, 'criterion': 'gini', 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}}",0.5995626934984519,0.029595195563878886,2
44,0.3645702075958252,0.012355959128041355,0.0170143461227417,0.0012210052297173387,130,17,59,auto,40,entropy,"{1: 0.7832436587240584, 0: 0.2167563412759416}","{'n_estimators': 130, 'min_samples_split': 17, 'min_samples_leaf': 59, 'max_features': 'auto', 'max_depth': 40, 'criterion': 'entropy', 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}}",0.5994736842105263,0.03150877511550572,4
99,0.24038547039031982,0.030276270933509594,0.012613272666931153,0.004084548183555171,80,15,52,log2,40,gini,"{1: 0.7832436587240584, 0: 0.2167563412759416}","{'n_estimators': 80, 'min_samples_split': 15, 'min_samples_leaf': 52, 'max_features': 'log2', 'max_depth': 40, 'criterion': 'gini', 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}}",0.599251805985552,0.030531404239471593,5
41,0.21968652486801146,0.011973280867388412,0.011562998294830323,0.001407807069639915,80,19,52,log2,20,gini,"{1: 0.7832436587240584, 0: 0.2167563412759416}","{'n_estimators': 80, 'min_samples_split': 19, 'min_samples_leaf': 52, 'max_features': 'log2', 'max_depth': 20, 'criterion': 'gini', 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}}",0.599251805985552,0.030531404239471593,5
35,0.24003822565078736,0.02307700245427668,0.012392730712890624,0.003516386950182708,80,19,52,auto,25,gini,"{1: 0.7832436587240584, 0: 0.2167563412759416}","{'n_estimators': 80, 'min_samples_split': 19, 'min_samples_leaf': 52, 'max_features': 'auto', 'max_depth': 25, 'criterion': 'gini', 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}}",0.599251805985552,0.030531404239471593,5
27,0.23386237621307374,0.023763495410060884,0.012322995662689209,0.0030559572022586094,80,15,57,log2,30,gini,"{1: 0.7832436587240584, 0: 0.2167563412759416}","{'n_estimators': 80, 'min_samples_split': 15, 'min_samples_leaf': 57, 'max_features': 'log2', 'max_depth': 30, 'criterion': 'gini', 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}}",0.5992247162022704,0.03146214588232297,8
57,0.302578010559082,0.02974015458204213,0.015033667087554931,0.004604426233781933,100,19,58,auto,35,entropy,"{1: 0.7832436587240584, 0: 0.2167563412759416}","{'n_estimators': 100, 'min_samples_split': 19, 'min_samples_leaf': 58, 'max_features': 'auto', 'max_depth': 35, 'criterion': 'entropy', 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}}",0.5991279669762641,0.03226882469478867,9
37,0.3127607369422913,0.048273402637142374,0.015353126525878906,0.005020154786794639,100,15,58,log2,30,entropy,"{1: 0.7832436587240584, 0: 0.2167563412759416}","{'n_estimators': 100, 'min_samples_split': 15, 'min_samples_leaf': 58, 'max_features': 'log2', 'max_depth': 30, 'criterion': 'entropy', 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}}",0.5991279669762641,0.03226882469478867,9
