,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_penalty,param_n_iter_no_change,param_max_iter,param_loss,param_class_weight,param_alpha,params,mean_test_score,std_test_score,rank_test_score
54,0.011562721729278564,0.0029716389635184937,0.001250174045562744,0.0009528900843368418,elasticnet,15,17000,modified_huber,"{1: 0.7832436587240584, 0: 0.2167563412759416}",0.01,"{'penalty': 'elasticnet', 'n_iter_no_change': 15, 'max_iter': 17000, 'loss': 'modified_huber', 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}, 'alpha': 0.01}",0.5947987616099071,0.03160473284050137,1
76,0.012332780361175537,0.005317292860467294,0.001240241527557373,0.0005123983434464775,elasticnet,15,5000,modified_huber,"{1: 0.7832436587240584, 0: 0.2167563412759416}",0.01,"{'penalty': 'elasticnet', 'n_iter_no_change': 15, 'max_iter': 5000, 'loss': 'modified_huber', 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}, 'alpha': 0.01}",0.5940531475748194,0.03360168080186608,2
95,0.012752864360809326,0.004323619653329005,0.001200382709503174,0.0006001067349204703,l1,15,9000,log,"{1: 0.7832436587240584, 0: 0.2167563412759416}",0.001,"{'penalty': 'l1', 'n_iter_no_change': 15, 'max_iter': 9000, 'loss': 'log', 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}, 'alpha': 0.001}",0.5925761093911249,0.030964172236743897,3
78,0.012432746887207032,0.004056198615709934,0.0012104153633117677,0.00040732530774462253,elasticnet,15,19000,modified_huber,"{1: 0.7832436587240584, 0: 0.2167563412759416}",0.01,"{'penalty': 'elasticnet', 'n_iter_no_change': 15, 'max_iter': 19000, 'loss': 'modified_huber', 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}, 'alpha': 0.01}",0.5922574819401444,0.03422374168241578,4
29,0.013873028755187988,0.0035239319337947426,0.0011903715133666992,0.000417266430947575,elasticnet,15,11000,log,"{1: 0.7832436587240584, 0: 0.2167563412759416}",0.001,"{'penalty': 'elasticnet', 'n_iter_no_change': 15, 'max_iter': 11000, 'loss': 'log', 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}, 'alpha': 0.001}",0.5919311145510836,0.033896458570704814,5
39,0.009932284355163573,0.0024591215709015746,0.0011906075477600099,0.0004172687771637266,l2,15,15000,log,"{1: 0.7832436587240584, 0: 0.2167563412759416}",0.001,"{'penalty': 'l2', 'n_iter_no_change': 15, 'max_iter': 15000, 'loss': 'log', 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}, 'alpha': 0.001}",0.5913338493292055,0.03374841297905206,6
38,0.006221246719360351,0.001245863204484595,0.0012105011940002441,0.00040746243014304134,l2,15,19000,log,"{1: 0.7832436587240584, 0: 0.2167563412759416}",0.01,"{'penalty': 'l2', 'n_iter_no_change': 15, 'max_iter': 19000, 'loss': 'log', 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}, 'alpha': 0.01}",0.5911777605779154,0.034735887701948374,7
20,0.008681669235229492,0.001760428917164956,0.0011405062675476074,0.0003469727487910401,elasticnet,15,7000,log,"{1: 0.7832436587240584, 0: 0.2167563412759416}",0.01,"{'penalty': 'elasticnet', 'n_iter_no_change': 15, 'max_iter': 7000, 'loss': 'log', 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}, 'alpha': 0.01}",0.5910964912280702,0.034980764016408615,8
99,0.005350971221923828,0.0016398354022263012,0.0012804365158081055,0.0005117439368561052,l2,15,17000,modified_huber,"{1: 0.7832436587240584, 0: 0.2167563412759416}",0.1,"{'penalty': 'l2', 'n_iter_no_change': 15, 'max_iter': 17000, 'loss': 'modified_huber', 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}, 'alpha': 0.1}",0.5908488132094943,0.03337186408302848,9
31,0.0046708440780639645,0.0009389132055054127,0.0011103463172912598,0.00031300731678070575,l2,15,11000,modified_huber,"{1: 0.7832436587240584, 0: 0.2167563412759416}",0.1,"{'penalty': 'l2', 'n_iter_no_change': 15, 'max_iter': 11000, 'loss': 'modified_huber', 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}, 'alpha': 0.1}",0.590594685242518,0.03542294888312763,10
