,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_kernel,param_gamma,param_degree,param_class_weight,param_C,params,mean_test_score,std_test_score,rank_test_score
92,0.06709473133087158,0.003355531297591245,0.03405789852142334,0.0013964425293577912,rbf,auto,1,"{1: 0.7832436587240584, 0: 0.2167563412759416}",160,"{'kernel': 'rbf', 'gamma': 'auto', 'degree': 1, 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}, 'C': 160}",0.5990763673890609,0.029568476552598283,1
39,0.07831260681152344,0.014999540283765185,0.03935878038406372,0.007064819133395556,rbf,auto,5,"{1: 0.7832436587240584, 0: 0.2167563412759416}",160,"{'kernel': 'rbf', 'gamma': 'auto', 'degree': 5, 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}, 'C': 160}",0.5990763673890609,0.029568476552598283,1
93,0.06759489774703979,0.0034680060655779476,0.03438791513442993,0.0018051330023344686,rbf,auto,8,"{1: 0.7832436587240584, 0: 0.2167563412759416}",160,"{'kernel': 'rbf', 'gamma': 'auto', 'degree': 8, 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}, 'C': 160}",0.5990763673890609,0.029568476552598283,1
59,0.07016560792922974,0.005597817890055804,0.03639766931533814,0.0036032703107976524,rbf,auto,4,"{1: 0.7832436587240584, 0: 0.2167563412759416}",150,"{'kernel': 'rbf', 'gamma': 'auto', 'degree': 4, 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}, 'C': 150}",0.5990028379772961,0.029886644244409025,4
68,0.071356041431427,0.004937560140809715,0.03569820165634155,0.0029254078635319288,rbf,auto,3,"{1: 0.7832436587240584, 0: 0.2167563412759416}",190,"{'kernel': 'rbf', 'gamma': 'auto', 'degree': 3, 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}, 'C': 190}",0.5988493292053663,0.029327943491459483,5
81,0.07030530214309692,0.0029849274666905582,0.03423787593841553,0.0016119596615398531,rbf,auto,6,"{1: 0.7832436587240584, 0: 0.2167563412759416}",270,"{'kernel': 'rbf', 'gamma': 'auto', 'degree': 6, 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}, 'C': 270}",0.597983746130031,0.02984098447073156,6
10,0.06499458074569703,0.0029059815150963182,0.031926932334899905,0.002352868163170282,rbf,auto,6,"{1: 0.7832436587240584, 0: 0.2167563412759416}",240,"{'kernel': 'rbf', 'gamma': 'auto', 'degree': 6, 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}, 'C': 240}",0.597936016511868,0.028745323747157905,7
72,0.07211594820022584,0.006004229472145567,0.03514786243438721,0.002936685548542712,rbf,auto,8,"{1: 0.7832436587240584, 0: 0.2167563412759416}",280,"{'kernel': 'rbf', 'gamma': 'auto', 'degree': 8, 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}, 'C': 280}",0.5977941176470588,0.02924945425962772,8
27,0.07360533237457276,0.008791800117776156,0.03646443843841553,0.005846152105522514,rbf,auto,8,"{1: 0.7832436587240584, 0: 0.2167563412759416}",260,"{'kernel': 'rbf', 'gamma': 'auto', 'degree': 8, 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}, 'C': 260}",0.5977876676986584,0.029856912861957404,9
55,0.06861606597900391,0.0029661675432252265,0.03392814874649048,0.0014949495757135493,rbf,auto,7,"{1: 0.7832436587240584, 0: 0.2167563412759416}",230,"{'kernel': 'rbf', 'gamma': 'auto', 'degree': 7, 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}, 'C': 230}",0.5977076883384934,0.028327704927082954,10
